[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3970817615.25757,10/28/2025,12:53 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1347,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM897,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,865,PREAMP_SERIAL_NUMBER
INFO,1014,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3970821181.6855,5.00026559829712,1887.18347167969,6.455045589312E-6,1.43257082633419E-7,1,1.99850670813958,40.0298881530762,1.9853649536049,19.4499995559454,7.03521799758787E-5,8.47008110591732E-6,0.25,-4.84739475243751E-7,6.455045589312E-6,-4.84739475243751E-7,5.00066614151001,5.00066614151001,1839.7431640625,1934.62377929687,49.6490435415437,18.2409460761902,6.80105495452881,0,0,0,80,4.99986505508423,1,6,1,2.01614379882813,39.1006851196289,,,,,,,,,,,,,,,,
,3970821183.6775,5.00063157081604,1987.07531738281,6.56622926263254E-6,1.32408096435299E-7,1,1.99850670813958,40.0298881530762,1.98533829847392,19.4600000977516,7.17892211118253E-5,7.46905105220213E-6,0.25,-5.99872223602615E-7,6.56622926263254E-6,-5.99872223602615E-7,4.99986505508423,4.99986505508423,1934.62377929687,2039.52685546875,49.3074718786398,18.2429093597594,6.80274868011475,0,0,0,80,5.00139808654785,1,6,1,1.99935913085938,39.5894432067871,,,,,,,,,,,,,,,,
,3970821185.724,5.00081753730774,2092.06030273438,6.18665409801832E-6,1.16285240623477E-7,1,1.99850670813958,40.0298881530762,1.98530426330893,19.4600000977516,6.81838176861459E-5,4.27101729652576E-6,0.25,-8.22766348170816E-7,6.18665409801832E-6,-8.22766348170816E-7,5.00139808654785,5.00139808654785,2039.52685546875,2144.59375,49.5740072036975,18.2415668035967,6.80411911010742,0,0,0,80,5.00023698806763,1,6,1,2.01141357421875,41.5444793701172,,,,,,,,,,,,,,,,
,3970821187.733,5.00093579292297,2192.115234375,5.95901811389738E-6,1.56129044739221E-7,1,1.99850670813958,40.0298881530762,1.98525366575743,19.4600000977516,6.55000475219798E-5,4.99220807106885E-6,0.25,-7.10693941965337E-7,5.95901811389738E-6,-7.10693941965337E-7,5.00023698806763,5.00023698806763,2144.59375,2239.63671875,49.2941841938129,18.2411479001472,6.80566596984863,0,0,0,80,5.00163459777832,1,6,1,1.99752807617187,39.5894432067871,,,,,,,,,,,,,,,,
,3970821189.687,5.00018310546875,2287.08837890625,5.56349186082657E-6,1.30759113363556E-7,1,1.99850670813958,40.0298881530762,1.98516549957633,19.4600000977516,6.14174798550282E-5,3.30377723128628E-6,0.25,-7.89876307399799E-7,5.56349186082657E-6,-7.89876307399799E-7,5.00163459777832,5.00163459777832,2239.63671875,2334.5400390625,49.2293090267167,18.2410772755578,6.80702304840088,0,0,0,80,4.99873161315918,1,6,1,2.00393676757813,39.5894432067871,,,,,,,,,,,,,,,,
,3970821191.673,4.99989628791809,2387.03869628906,5.2137301869589E-6,1.38150984968334E-7,1,1.99850670813958,40.0298881530762,1.98525182460664,19.4600000977516,5.8253966363954E-5,-4.27493722543992E-7,0.25,-1.06833892724936E-6,5.2137301869589E-6,-1.06833892724936E-6,4.99873161315918,4.99873161315918,2334.5400390625,2439.53735351562,49.1042484636398,18.2433606649685,6.80854082107544,0,0,0,80,5.001060962677,1,6,1,1.998291015625,39.5894432067871,,,,,,,,,,,,,,,,
,3970821193.664,5.0001425743103,2486.93579101562,4.87666759144821E-6,1.52486547364904E-7,1,1.99850670813958,40.0298881530762,1.98516530264853,19.4499995559454,5.41471932794958E-5,1.31521993368132E-6,0.25,-8.39562233409674E-7,4.87666759144821E-6,-8.39562233409674E-7,5.001060962677,5.001060962677,2439.53735351562,2534.33422851562,49.6412272563514,18.2435769916689,6.81024837493896,0,0,0,80,4.9992241859436,1,6,1,2.01873779296875,39.5894432067871,,,,,,,,,,,,,,,,
,3970821195.6595,5.00007224082947,2584.18627929687,4.50129685994926E-6,1.38748813764578E-7,1,1.99850670813958,40.0298881530762,1.98518134209982,19.4600000977516,5.06292567209092E-5,-2.07849059834601E-6,0.25,-1.08153878473303E-6,4.50129685994926E-6,-1.08153878473303E-6,4.9992241859436,4.9992241859436,2534.33422851562,2634.03833007813,49.362185874986,18.2421238614724,6.81144189834595,0,0,0,80,5.00092029571533,1,6,1,2.00363159179687,39.5894432067871,,,,,,,,,,,,,,,,
,3970821197.6645,5.00029826164246,2683.60510253906,4.20737272924808E-6,1.46442236084521E-7,1,1.99850670813958,40.0298881530762,1.98508378821136,19.4600000977516,4.69146869647346E-5,1.16761515318973E-7,0.25,-8.19130301753389E-7,4.20737272924808E-6,-8.19130301753389E-7,5.00092029571533,5.00092029571533,2634.03833007813,2733.171875,50.1594469646015,18.2430338034448,6.81249475479126,0,0,0,80,4.99967622756958,1,6,1,2.00164794921875,39.5894432067871,,,,,,,,,,,,,,,,
,3970821199.67,5.00044107437134,2785.36755371094,3.48304554949589E-6,1.42955268080558E-7,1,1.99850670813958,40.0298881530762,1.98502496163866,19.4600000977516,3.89362988869294E-5,-4.0740404219053E-7,0.25,-7.25054066637786E-7,3.48304554949589E-6,-7.25054066637786E-7,4.99967622756958,4.99967622756958,2733.171875,2837.56323242187,49.1472380321975,18.2443343811482,6.81470584869385,0,0,0,80,5.0012059211731,1,6,1,2.00485229492187,41.055721282959,,,,,,,,,,,,,,,,
